Name,resultRepList
13日の金曜日,suki iya yorokobi yorokobi kowa suki yasu aware yorokobi
2度目のキスから,yasu odoroki suki yasu yasu odoroki suki yasu
4番目の光,suki takaburi yorokobi kowa yasu yorokobi yorokobi
Against,kowa aware aware
Am I Loving,aware kowa suki yorokobi suki suki yorokobi
Another Ghost,iya aware suki kowa
I see,suki yorokobi suki suki iya aware suki
My rule,iya yorokobi aware iya iya ikari aware iya iya
Out of the blue,iya yorokobi yorokobi iya iya yasu suki kowa suki
Rewindあの日,aware iya iya ikari aware
Route 246,yasu iya
Sing Out!,yorokobi yorokobi yorokobi suki aware iya yasu suki iya suki
Tender days,iya ikari iya ikari aware ikari iya
Threefold choice,suki kowa iya iya yasu iya suki
Wilderness world,iya aware odoroki aware aware iya
あなたのために弾きたい,yorokobi aware yorokobi
あの教室,suki suki suki yorokobi suki aware takaburi suki
あの日 僕は咄嗟に嘘をついた,ikari suki aware aware aware suki
あらかじめ語られるロマンス,yorokobi suki iya yorokobi suki aware suki iya
ありがちな恋愛,yorokobi takaburi suki iya iya iya yorokobi suki iya
あんなに好きだったのに,suki kowa ikari suki suki aware suki suki suki suki suki
いつかできるから今日できる,iya suki aware
おいでシャンプー,takaburi takaburi aware yorokobi kowa takaburi yasu
かき氷の片想い,haji iya suki iya suki aware iya suki aware iya suki iya suki
きっかけ,kowa takaburi iya iya iya iya iya
ぐるぐるカーテン,yasu aware yasu aware kowa yorokobi
ここじゃないどこか,suki aware aware aware suki iya
ここにいる理由,iya yasu aware aware
ごめんね ずっと,iya suki yorokobi aware yorokobi suki kowa iya yorokobi aware aware iya iya
ごめんねFingers crossed,suki yorokobi takaburi suki suki ikari suki takaburi aware suki ikari suki yorokobi
ごめんね、スムージー,suki takaburi iya yorokobi suki suki iya iya yorokobi
さゆりんご募集中,iya iya yorokobi yorokobi suki yasu suki yorokobi yorokobi
しあわせの保護色,aware yorokobi yorokobi yasu aware yorokobi
せっかちなかたつむり,kowa iya iya yasu yorokobi iya takaburi odoroki takaburi aware iya
その先の出口,kowa aware aware aware iya aware aware aware
その女,kowa iya yorokobi aware yorokobi aware
そんなバカな,iya suki iya suki suki kowa suki
つづく,aware kowa yorokobi yorokobi
でこぴん,kowa iya yorokobi aware iya iya iya yorokobi yasu yorokobi
ないものねだり,suki suki yorokobi yorokobi yasu
なぞの落書き,aware suki odoroki haji odoroki suki suki aware suki
のような存在,iya suki
ひとりよがり,aware iya aware iya yorokobi iya iya iya iya takaburi
ひと夏の長さより,yorokobi suki aware
ぼっち党,yorokobi ikari aware suki yorokobi yorokobi
まあいいか,suki suki suki suki iya yorokobi aware
もうすぐ～ザンビ伝説～,yasu iya iya iya yasu
もう少しの夢,iya takaburi suki aware
もし君がいなければ,iya iya yasu iya iya aware yorokobi iya
やさしさとは,yasu takaburi aware yasu aware aware yorokobi iya aware aware aware
やさしさなら間に合ってる,kowa aware yasu aware aware aware suki aware yasu
アナスターシャ,suki yasu aware aware suki iya suki
アンダー,kowa suki iya yorokobi
インフルエンサー,kowa kowa suki aware
オフショアガール,odoroki ikari kowa yorokobi
ガールズルール,suki aware yorokobi aware takaburi iya yasu suki suki aware yorokobi
キスの手裏剣,ikari suki
キャラバンは眠らない,iya aware suki
コウモリよ,suki aware aware suki aware aware
ゴルゴンゾーラ,suki suki suki yorokobi yorokobi iya yorokobi iya suki suki suki suki
サイコキネシスの可能性,suki yorokobi suki odoroki iya yorokobi
サヨナラ Stay with me,yasu suki
サヨナラの意味,suki suki aware aware yorokobi kowa aware suki aware
シャキイズム,suki suki suki yorokobi iya ikari suki
ショパンの嘘つき,iya aware yorokobi aware iya suki yorokobi aware
シンクロニシティ,aware haji aware aware aware aware aware aware aware aware aware aware aware aware
シンクロ二シティ,aware haji aware aware aware aware aware aware aware aware aware aware aware aware
シークレットグラフィティー,suki suki suki suki ikari iya iya yorokobi
ジコチューで行こう!,iya iya iya yasu iya iya iya iya
スカイダイビング,
スカウトマン,suki iya yorokobi iya yorokobi
ダンケシェーン,suki takaburi yasu aware suki yorokobi suki yorokobi aware
トキトキメキメキ,takaburi takaburi takaburi suki aware suki suki takaburi takaburi
ハウス!,suki suki aware suki suki suki aware odoroki suki suki suki yorokobi suki suki aware suki
ハルジオンが咲く頃,yorokobi aware takaburi suki iya yasu suki yorokobi
バレッタ,suki yorokobi
ファンタスティック3色パン,yorokobi yorokobi suki yorokobi iya yasu yorokobi yorokobi suki yorokobi
ブランコ,takaburi suki iya takaburi
ボーダー,iya aware aware suki iya yorokobi
ポピパッパパー,suki yorokobi suki
ライブ神,yorokobi odoroki yorokobi yorokobi
ロマンスのスタート,ikari aware suki odoroki
ロマンティックいか焼き,haji haji takaburi suki haji
ワタボコリ,suki suki
三番目の風,iya kowa iya iya iya kowa iya
三角の空き地,suki takaburi aware suki suki
不眠症,iya takaburi iya iya yasu yorokobi iya iya
不等号,suki aware iya suki yorokobi suki aware suki yorokobi
世界で一番 孤独なLover,aware takaburi iya aware aware aware suki yasu yorokobi aware suki suki aware aware aware
世界中の隣人よ,iya aware yorokobi yorokobi
乃木坂の詩,iya aware ikari yasu suki
人はなぜ走るのか,yasu suki yasu suki yorokobi ikari
人生を考えたくなる,yorokobi aware yorokobi
人間という楽器,yorokobi suki yorokobi suki yorokobi yorokobi
今、話したい誰かがいる,yasu suki yorokobi iya aware kowa yorokobi
他の星から,yorokobi yorokobi kowa suki iya kowa yorokobi yorokobi
会いたかったかもしれない,iya suki suki iya suki suki
低体温のキス,ikari iya suki suki
何もできずにそばにいる,aware yorokobi aware aware aware aware aware aware odoroki iya ikari aware aware aware
何度目の青空か,aware suki suki iya yasu aware suki suki iya suki aware
偶然を言い訳にして,suki suki odoroki
傾斜する,suki suki kowa suki iya yasu aware aware suki kowa
僕がいる場所,aware aware aware aware aware yorokobi aware aware suki yorokobi
僕が行かなきゃ誰が行くんだ,iya
僕だけの光,yorokobi yorokobi yorokobi
僕のこと、知ってる,iya aware aware suki
僕の思い込み,suki yorokobi iya yorokobi suki ikari iya yorokobi
僕の衝動,suki iya iya ikari aware suki kowa iya aware ikari yasu ikari suki
僕は僕を好きになる,iya iya iya iya yorokobi aware iya iya aware iya aware aware yasu aware ikari aware iya iya suki
光合成希望,aware suki kowa yorokobi kowa yorokobi
全部 夢のまま,ikari ikari iya iya yasu yorokobi aware iya yasu iya yorokobi suki suki
初恋の人を今でも,iya aware aware aware aware
別れ際、もっと好きになる,suki aware aware yorokobi yorokobi suki aware iya suki aware aware kowa suki aware iya
制服のマネキン,iya suki iya
制服を脱いでサヨナラを,iya aware aware takaburi yorokobi suki yorokobi
友情ピアス,aware yorokobi suki suki
口ほどにもないKISS,yorokobi suki iya odoroki takaburi suki yorokobi iya
口約束,suki yorokobi yorokobi odoroki aware odoroki yorokobi yorokobi
吐息のメソッド,iya iya iya suki aware iya iya aware
君が扇いでくれた,suki
君に贈る花がない,suki iya aware aware suki suki yorokobi yorokobi yorokobi suki iya aware
君の名は希望,aware takaburi aware yorokobi takaburi aware yorokobi yorokobi takaburi
君は僕と会わない方がよかったのかな,yorokobi aware yorokobi aware aware aware yorokobi yorokobi aware suki
告白の順番,ikari iya iya haji suki iya
